BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,ADU/Legalization Units,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BMR Reporting Year,BlockLot,PPTS Project ID
2.00205E+11,2005 18TH ST,DEMOLISH A THREE STORY TWO UNIT DWELLING,2,0,0,-2,-2,0,3/23/2005,3/23/2005,0,0,0,0,0,-2,FALSE,10,Potrero Hill,9 - South of Market,Showplace Square/Potrero Hill (EN),6,Full Building Permit,6/23/2004,6/23/2004,RH-2,,2005,4030001,2002.0639
2.00302E+11,965 GENEVA AV,"ADDITION/ALT TO EXIST THEATER STRUCTURE AS FOLLOWS,HORIZ ADDITION OF 434 SF ON GR FLR,RMV EXIST MEZZ",0,8,8,8,8,0,3/23/2005,3/23/2005,0,0,0,0,0,8,FALSE,11,Excelsior,12 - South Central,,3,Site Permit,4/28/2003,8/20/2003,NCD-EXCELSIOR,,2005,6409005,
2.00409E+11,2300 SAN BRUNO AV,REMOVE 1 ILLEGAL DWELLING ON (E)G/F.CONVERT (E)RES.TO STORAGE AREA TO COMPLY NOV#200452151,2,1,1,-1,-1,0,3/23/2005,3/23/2005,0,0,0,0,0,-1,FALSE,9,Portola,12 - South Central,,8,Full Building Permit,9/20/2004,9/20/2004,RH-1,,2005,5857001,
2.00502E+11,1233 ARGUELLO BL,REMOVING EXISTING UNIT BY REMOVING BATY KITCHEN TOILET STOVE AND CASEWORK REMOVAL OF ILLEGAL UNIT,12,12,11,-1,-1,0,3/28/2005,3/28/2005,0,0,0,0,0,-1,FALSE,7,Inner Sunset,14 - Inner Sunset,,8,Full Building Permit,2/18/2005,2/18/2005,RH-2,,2005,1749007,
2.0021E+11,378 20TH AV,DEMOLISH 2-STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,3/29/2005,3/29/2005,0,0,0,0,0,-1,FALSE,1,Outer Richmond,1 - Richmond,,6,Full Building Permit,2/17/2005,2/17/2005,RM-1,,2005,1451027,2003.0525
2.00401E+11,714 CHENERY ST,REMOVAL OF NON-CONFORMING MATERIALS TO SATISFY ORDER OF ABATEMENT - REMOVE ILLEGAL UNIT,1,1,0,-1,-1,0,3/30/2005,3/30/2005,0,0,0,0,0,-1,FALSE,8,Glen Park,7 - Central,,8,Full Building Permit,1/27/2004,1/27/2004,NCT-GLEN PARK,,2005,6739006,
2.00306E+11,168 29TH ST,DEMOLISH A ONE STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,4/1/2005,4/1/2005,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,6/28/2004,6/28/2004,NC-1,,2005,6617017,Multiple
2.00306E+11,168 29TH ST,ERECT A NEW FOUR STORY FOUR UNIT RESIDENTIAL BLDG,0,4,4,4,4,0,4/1/2005,4/1/2005,0,0,0,0,0,4,FALSE,8,Noe Valley,7 - Central,,2,Site Permit,6/28/2004,9/10/2004,NC-1,,2005,6617017,2003.1316
2.0001E+11,570 42ND AV,ERECT 3-STORY TYPE-V 4-DWELLING STRUCTURE,0,4,4,4,4,0,4/4/2005,4/4/2005,0,0,0,0,0,4,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,7/16/2001,7/18/2001,RH-2,,2005,1503060,2000.211
2.00209E+11,149 PANAMA ST,TO DEMOLISH 1 STORY SINGLE FAMILY DWELLING,1,0,0,-1,-1,0,4/4/2005,4/4/2005,0,0,0,0,0,-1,FALSE,7,Oceanview/Merced/Ingleside,13 - Ingleside,,6,Full Building Permit,5/5/2004,5/5/2004,RH-1,,2005,7178012,
2.00209E+11,139 PANAMA ST,ERECT A THREE STORY SINGLE FAMILY DWELLING,0,1,1,1,1,0,4/4/2005,4/4/2005,0,0,0,0,0,1,FALSE,7,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,5/5/2004,5/17/2004,RH-1,,2005,7178013,2003.0219
